Track Name,Artist Name,Track ID,Album ID,Artist ID,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Time Signature,Mode,Duration (ms),Popularity
Shivers,Ed Sheeran,75MNhvTCCKsST3YqqUiU9r,531c37GGv5IvddCvBv3sWT,6eUKZXaKkcviH0Ku9w2n3V,pop,0.788,0.859,-2.724,0.0856,0.281,0,0.0424,0.822,141.02,2,4,1,207853,95
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5Z9KJZvQzH6PFmb8SNkxuk,6pOiDiuDQqrmo5DbG0ZubR,7jVv8c5Fj3E9VhNjxT4snq,pop,0.741,0.691,-7.395,0.0672,0.0221,0,0.0476,0.892,150.087,10,4,0,212353,90
Snälla bli min - Spotify Studio It's Hits Recording,Victor Leksell,1ZJdjsCEdolnRN83W9dWiX,4lb6TvMkq5XG77Vdydcy4a,6RJXSfbIkEMoCJ8GAg2dVO,pop,0.535,0.252,-11.458,0.0308,0.82,1.15e-06,0.106,0.783,84.765,7,4,1,158491,62
When We Were Young,Adele,6O5TrlFWTYvznd9fMC0VvU,6TVfiWmo8KtflUAmkK9gGF,4dpARuHxo51G3z768sgnrY,pop,0.372,0.566,-6.779,0.0519,0.322,0,0.0953,0.28,146.399,3,4,1,290900,83
Need to Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,1nAQbHeOWTfQzbOoFrvndW,5cj0lLjcoR7YOSnhnX0Po5,pop,0.664,0.609,-6.509,0.0707,0.304,0,0.0926,0.194,130.041,1,4,1,210560,94
traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,6s84u2TUpR3wdUv4NgKA2j,1McMsnEElThX1knmY4oliG,pop,0.38,0.339,-7.885,0.0338,0.691,0,0.12,0.0849,100.607,3,4,1,229227,93
Afterglow,Ed Sheeran,0E4Y1XIbs8GrAT1YqVy6dq,5bb2Sf8jps2DTyI2urMThV,6eUKZXaKkcviH0Ku9w2n3V,pop,0.641,0.324,-5.851,0.0299,0.698,0,0.328,0.273,110.184,11,4,1,185487,81
Levitating (feat. DaBaby),Dua Lipa,5nujrmhLynf4yMoMtj8AQF,5lKlFlReHOLShQKyRv6AL9,6M2wZ9GZgrQXHCFfjv46we,pop,0.702,0.825,-3.787,0.0601,0.00883,0,0.0674,0.915,102.977,6,4,0,203064,88
Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,0KTj6k94XZh0c6IEMfxeWV,4yvcSjfu4PC0CYQyLy4wSq,pop,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,11,4,1,238805,91
För Evigt,Hanna Ferm,1CuVhIZAAc8h360WoVJYhD,1nw8NdjGsc5dyfvXedPawH,2xQUbkvQFCU8DpdBFbMfLq,pop,0.735,0.755,-4.786,0.0614,0.0887,0,0.438,0.655,127.978,0,4,1,156761,68
Toxic,Britney Spears,6I9VzXrHxO9rA9A5euc8Ak,0z7pVBGOD7HCIB7S8eLkLI,26dSoYclwsYLMAKD3tpOr4,pop,0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,5,4,0,198800,82
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,7oiJYvEJHsmYtrgviAVIBD,4IWBUUAFIplrNtaOHcJPRM,pop,0.358,0.557,-7.398,0.059,0.695,0,0.0902,0.494,85.043,10,4,1,211467,85
MONTERO (Call Me By Your Name),Lil Nas X,1SC5rEoYDGUK4NfG82494W,6pOiDiuDQqrmo5DbG0ZubR,7jVv8c5Fj3E9VhNjxT4snq,pop,0.593,0.503,-6.725,0.22,0.293,0,0.405,0.71,178.781,8,4,0,137704,90
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0RiRZpuVRbi7oqRdSMwhQY,4g1ZRSobMefqF6nelkgibi,246dkjvS1zLTtiykXe5h60,pop,0.755,0.522,-4.368,0.0575,0.533,0,0.0685,0.925,89.96,2,4,1,157560,80
Beggin',Måneskin,3Wrjm47oTz2sjIgck11l5e,2qJw6w5XwQO0PQlSWPu7Tw,0lAWpj5szCSwM4rUMHYmrr,pop,0.714,0.8,-4.808,0.0504,0.127,0,0.359,0.589,134.002,11,4,0,211560,96
Eld & lågor,Victor Leksell,5etlUg6yiQ8565mdyrWUiP,4bza1f2XnAhCSRYMhqQJmr,6RJXSfbIkEMoCJ8GAg2dVO,pop,0.58,0.528,-8.221,0.0323,0.277,0,0.0765,0.281,126.945,11,4,1,179460,72
SE MIG,Veronica Maggio,0djNuMqEv8KCVE0tUQyyrJ,1hH4uUsYGsiZBFi9XlzoX9,2OIWxN9xUhgUHkeUCWCaNs,pop,0.602,0.704,-7.135,0.0436,0.155,0.000472,0.134,0.113,159.93,7,4,1,198776,66
Allt det vackra,Benjamin Ingrosso,3IrNhMvzard7nCKgfe18IW,2D0NU2s1xrC8wGRkMrJUjP,7jEEE187pVG6InOxn03oA5,pop,0.537,0.376,-8.659,0.0272,0.37,0,0.0907,0.326,76.019,5,4,1,204964,63
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,2sBB17RXTamvj7Ncps15AK,6qqNVTkY8uBg9cP3Jd7DAH,pop,0.351,0.296,-10.109,0.0333,0.934,0,0.095,0.12,115.284,4,4,0,200186,88
Rolling in the Deep,Adele,6IAZHEBUIGJ6NJKxxOBIEr,4HYlttFwVHZaz7gguxaN9H,4dpARuHxo51G3z768sgnrY,pop,0.73,0.769,-5.114,0.0298,0.138,0,0.0473,0.507,104.948,8,4,1,228093,46
The Nights,Avicii,0ct6r3EGTcMLPtrXHDvVjc,0h2knr6qpiAq0tV5ri5JMF,1vCWHaC5f2uS3yhpwWbIA6,pop,0.527,0.835,-5.298,0.0433,0.0166,0,0.249,0.654,125.983,6,4,1,176658,86
